name, first set, first rarity, first date, earliest non-common set, earliest non-common rarity, earliest non-common date, downshift set, downshift rarity, downshift date
Disenchant, Limited Edition Alpha, common, 1993-08-05, Arena League 1996, rare, 1996-08-02, Mirage, common, 1996-10-08,
Chromatic Star, Time Spiral, common, 2006-10-06, Tenth Edition, uncommon, 2007-07-13, The List, common, 2019-11-07,
Force Spike, Legends, common, 1994-06-01, Friday Night Magic 2007, rare, 2007-01-01, Masters Edition III, common, 2009-09-07,
Mystic Zealot, Odyssey, common, 2001-10-01, Vintage Masters, uncommon, 2014-06-16, Dominaria Remastered, common, 2023-01-13,
Gilded Light, Scourge, uncommon, 2003-05-26, Scourge, uncommon, 2003-05-26, Vintage Masters, common, 2014-06-16,
Cartographer, Exodus, uncommon, 1998-06-15, Exodus, uncommon, 1998-06-15, Odyssey, common, 2001-10-01,
Anticipate, Friday Night Magic 2015, rare, 2015-01-01, Friday Night Magic 2015, rare, 2015-01-01, Dragons of Tarkir, common, 2015-03-27,
Leaping Lizard, Homelands, uncommon, 1995-10-01, Homelands, uncommon, 1995-10-01, Masters Edition II, common, 2008-09-22,
Aim High, Shadows over Innistrad, common, 2016-04-08, Battlebond, uncommon, 2018-06-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Everflowing Chalice, Worldwake, uncommon, 2010-02-05, Worldwake, uncommon, 2010-02-05, Double Masters, common, 2020-08-07,
Impact Tremors, Dragons of Tarkir, common, 2015-03-27, Secret Lair Drop, rare, 2021-06-21, March of the Machine Commander, common, 2023-04-21,
Osai Vultures, Legends, common, 1994-06-01, Fourth Edition, uncommon, 1995-04-01, Renaissance, common, 1995-08-01,
Llanowar Elves, Limited Edition Alpha, common, 1993-08-05, Friday Night Magic 2000, rare, 2000-01-01, World Championship Decks 2000, common, 2000-08-02,
Relic Crush, Zendikar, common, 2009-10-02, Conspiracy, uncommon, 2014-06-06, Commander Anthology Volume II, common, 2018-06-08,
Relentless Rats, Fifth Dawn, uncommon, 2004-06-04, Fifth Dawn, uncommon, 2004-06-04, Masters 25, common, 2018-03-16,
Rakdos Signet, Dissension, common, 2006-05-05, Magic Online Promos, uncommon, 2014-10-17, Commander 2016, common, 2016-11-11,
Crypt Sliver, Legions, common, 2003-02-03, Salvat 2005, uncommon, 2005-08-22, Commander Masters, common, 2023-08-04,
Lightning Axe, Time Spiral, common, 2006-10-06, Shadows over Innistrad, uncommon, 2016-04-08, Double Masters, common, 2020-08-07,
Ancient Grudge, Time Spiral, common, 2006-10-06, Friday Night Magic 2012, rare, 2012-01-01, Magic Online Promos, common, 2013-01-11,
Thought Vessel, Commander 2015, common, 2015-11-13, Legendary Cube Prize Pack, uncommon, 2015-11-18, Commander Anthology, common, 2017-06-09,
Thrill of Possibility, Throne of Eldraine, common, 2019-10-04, Strixhaven Mystical Archive, uncommon, 2021-04-23, Dominaria United, common, 2022-09-09,
Mulldrifter, Lorwyn, common, 2007-10-12, Friday Night Magic 2009, rare, 2009-01-01, Magic Online Theme Decks, common, 2010-11-08,
Mana Tithe, Planar Chaos, common, 2007-02-02, Magic Player Rewards 2008, rare, 2008-01-01, Magic Online Promos, common, 2014-10-17,
Brilliant Plan, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Frenzied Goblin, Salvat 2005, uncommon, 2005-08-22, Salvat 2005, uncommon, 2005-08-22, Masters 25, common, 2018-03-16,
Goblin Balloon Brigade, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Anthologies, common, 1998-11-01,
Sentinel Spider, Magic 2013, common, 2012-07-13, Arena Beginner Set, uncommon, 2020-08-13, Commander Legends, common, 2020-11-20,
Elvish Lyrist, Urza's Saga, common, 1998-10-12, Battle Royale Box Set, uncommon, 1999-11-12, Magic Online Promos, common, 2014-10-17,
Undying Rage, Salvat 2005, uncommon, 2005-08-22, Salvat 2005, uncommon, 2005-08-22, Eternal Masters, common, 2016-06-10,
Journey to Nowhere, Zendikar, common, 2009-10-02, Breaking News, uncommon, 2024-04-19, The List, common, 2024-08-02,
Cinder Barrens, Oath of the Gatewatch, uncommon, 2016-01-22, Oath of the Gatewatch, uncommon, 2016-01-22, Amonkhet, common, 2017-04-28,
Skewer the Critics, Ravnica Allegiance, common, 2019-01-25, Breaking News, uncommon, 2024-04-19, The List, common, 2024-08-02,
Filigree Familiar, Kaladesh, uncommon, 2016-09-30, Kaladesh, uncommon, 2016-09-30, Commander Legends, common, 2020-11-20,
Myrsmith, Scars of Mirrodin, uncommon, 2010-10-01, Scars of Mirrodin, uncommon, 2010-10-01, Commander Masters, common, 2023-08-04,
Regeneration, Limited Edition Alpha, common, 1993-08-05, Ninth Edition, uncommon, 2005-07-29, 30th Anniversary Edition, common, 2022-11-28,
Leonin Skyhunter, Mirrodin, uncommon, 2003-10-02, Mirrodin, uncommon, 2003-10-02, Mirrodin Besieged, common, 2011-02-04,
Tranquil Thicket, Onslaught, common, 2002-10-07, Modern Horizons, uncommon, 2019-06-14, Historic Anthology 2, common, 2020-03-12,
Spirit Shackle, Legends, common, 1994-06-01, Fourth Edition, uncommon, 1995-04-01, Renaissance, common, 1995-08-01,
Circle of Protection: Blue, Limited Edition Alpha, common, 1993-08-05, Eighth Edition, uncommon, 2003-07-28, 30th Anniversary Edition, common, 2022-11-28,
Go for the Throat, Friday Night Magic 2011, rare, 2011-01-01, Friday Night Magic 2011, rare, 2011-01-01, Warhammer 40,000 Commander, common, 2022-10-07,
Frogify, Throne of Eldraine, uncommon, 2019-10-04, Throne of Eldraine, uncommon, 2019-10-04, Double Masters, common, 2020-08-07,
Universal Automaton, Modern Horizons, common, 2019-06-14, Modern Horizons 1 Timeshifts, uncommon, 2021-06-18, Jumpstart: Historic Horizons, common, 2021-08-26,
Ninja of the Deep Hours, Betrayers of Kamigawa, common, 2005-02-04, Time Spiral Remastered, special, 2021-03-19, Jumpstart: Historic Horizons, common, 2021-08-26,
Tribal Flames, Invasion, common, 2000-10-02, Time Spiral Timeshifted, special, 2006-10-06, Duel Decks: Phyrexia vs. the Coalition, common, 2010-03-19,
Growth Spiral, Ravnica Allegiance, common, 2019-01-25, Strixhaven Mystical Archive, rare, 2021-04-23, Dominaria United Commander, common, 2022-09-09,
Circle of Protection: White, Limited Edition Alpha, common, 1993-08-05, Eighth Edition, uncommon, 2003-07-28, 30th Anniversary Edition, common, 2022-11-28,
Elvish Visionary, Shards of Alara, common, 2008-10-03, Friday Night Magic 2010, rare, 2010-01-01, Duels of the Planeswalkers, common, 2010-06-04,
Lonely Sandbar, Onslaught, common, 2002-10-07, Modern Horizons, uncommon, 2019-06-14, Historic Anthology 2, common, 2020-03-12,
Phantasmal Forces, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Masters Edition IV, common, 2011-01-10,
Perilous Myr, Scars of Mirrodin, common, 2010-10-01, Masters 25, uncommon, 2018-03-16, Jumpstart, common, 2020-07-17,
Grisly Salvage, Return to Ravnica, common, 2012-10-05, Friday Night Magic 2013, rare, 2013-01-01, Magic Online Promos, common, 2013-12-13,
Invisibility, Limited Edition Alpha, common, 1993-08-05, Eighth Edition, uncommon, 2003-07-28, Magic 2015, common, 2014-07-18,
Battle Screech, Judgment, uncommon, 2002-05-27, Judgment, uncommon, 2002-05-27, Vintage Masters, common, 2014-06-16,
Auramancer, Odyssey, common, 2001-10-01, DCI Promos, rare, 2011-07-15, Planechase 2012, common, 2012-06-01,
Act of Treason, Magic 2010, uncommon, 2009-07-17, Magic 2010, uncommon, 2009-07-17, Magic 2011, common, 2010-07-16,
Prismatic Lens, Time Spiral, common, 2006-10-06, Eternal Masters, uncommon, 2016-06-10, Time Spiral Remastered, common, 2021-03-19,
Izzet Signet, Guildpact, common, 2006-02-03, Modern Masters 2017, uncommon, 2017-03-17, Commander 2018, common, 2018-08-09,
Foul-Tongue Invocation, Dragons of Tarkir, uncommon, 2015-03-27, Dragons of Tarkir, uncommon, 2015-03-27, Iconic Masters, common, 2017-11-17,
Wight of Precinct Six, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Iconic Masters, common, 2017-11-17,
Vorstclaw, Avacyn Restored, uncommon, 2012-05-04, Avacyn Restored, uncommon, 2012-05-04, Core Set 2020, common, 2019-07-12,
Dreamscape Artist, Planar Chaos, common, 2007-02-02, Ultimate Masters, uncommon, 2018-12-07, Time Spiral Remastered, common, 2021-03-19,
Orcish Oriflamme, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Eternal Masters, common, 2016-06-10,
Fencing Ace, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Masters 25, common, 2018-03-16,
Imprisoned in the Moon, Eldritch Moon, rare, 2016-07-22, Eldritch Moon, rare, 2016-07-22, Shadows over Innistrad Remastered, common, 2023-03-21,
Merfolk of the Pearl Trident, Limited Edition Alpha, common, 1993-08-05, Secret Lair Drop, rare, 2023-08-03, The List, common, 2024-08-02,
Highland Lake, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Amonkhet, common, 2017-04-28,
Crumble, Antiquities, common, 1994-03-04, Foreign Black Border, uncommon, 1994-04-11, Masters Edition IV, common, 2011-01-10,
Grasp of Phantoms, Innistrad, uncommon, 2011-09-30, Innistrad, uncommon, 2011-09-30, Modern Masters 2017, common, 2017-03-17,
Fireblast, Visions, common, 1997-02-03, Friday Night Magic 2001, rare, 2001-01-01, Duel Decks: Jace vs. Chandra, common, 2008-11-07,
Negate, Morningtide, common, 2008-02-01, Magic Player Rewards 2009, rare, 2009-01-01, Magic 2010, common, 2009-07-17,
Raging Goblin, Portal, common, 1997-05-01, Anthologies, uncommon, 1998-11-01, Classic Sixth Edition, common, 1999-04-21,
Wastes, Oath of the Gatewatch, common, 2016-01-22, Time Spiral Remastered, special, 2021-03-19, Jumpstart 2022, common, 2022-12-02,
Darksteel Ingot, Arena League 2004, rare, 2004-01-01, Arena League 2004, rare, 2004-01-01, Darksteel, common, 2004-02-06,
Azorius Signet, Dissension, common, 2006-05-05, Modern Masters 2017, uncommon, 2017-03-17, Magic Online Promos, common, 2017-06-17,
Sulfurous Blast, Time Spiral, uncommon, 2006-10-06, Time Spiral, uncommon, 2006-10-06, Commander Masters, common, 2023-08-04,
Totem-Guide Hartebeest, Rise of the Eldrazi, common, 2010-04-23, Magic Origins, uncommon, 2015-07-17, The List, common, 2024-08-02,
Arc Lightning, Urza's Saga, common, 1998-10-12, Arena League 2002, rare, 2002-01-01, Planechase, common, 2009-09-04,
Demon's Disciple, Zendikar Rising, uncommon, 2020-09-25, Zendikar Rising, uncommon, 2020-09-25, Commander Masters, common, 2023-08-04,
Urborg Mindsucker, Multiverse Gift Box, rare, 1996-11-01, Multiverse Gift Box, rare, 1996-11-01, Visions, common, 1997-02-03,
Mind Stone, Weatherlight, common, 1997-06-09, Tenth Edition, uncommon, 2007-07-13, Iconic Masters, common, 2017-11-17,
Uncaged Fury, Shadows over Innistrad, common, 2016-04-08, Core Set 2020, uncommon, 2019-07-12, The List, common, 2019-11-07,
Carrion Grub, Core Set 2021, uncommon, 2020-07-03, Core Set 2021, uncommon, 2020-07-03, Commander Masters, common, 2023-08-04,
Arcane Denial, Alliances, common, 1996-06-10, Secret Lair Drop, rare, 2024-02-05, Outlaws of Thunder Junction Commander, common, 2024-04-19,
Abundant Growth, Avacyn Restored, common, 2012-05-04, Secret Lair Drop, rare, 2022-12-02, Fallout, common, 2024-03-08,
Kaervek's Torch, Mirage, common, 1996-10-08, Vintage Masters, uncommon, 2014-06-16, The List, common, 2019-11-07,
Borrowing 100,000 Arrows, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters 25, common, 2018-03-16,
Abrade, Hour of Devastation, uncommon, 2017-07-14, Hour of Devastation, uncommon, 2017-07-14, Double Masters, common, 2020-08-07,
Forgotten Cave, Onslaught, common, 2002-10-07, Modern Horizons, uncommon, 2019-06-14, Commander 2019, common, 2019-08-23,
Arcane Teachings, Judgment, common, 2002-05-27, Tenth Edition, uncommon, 2007-07-13, The List, common, 2021-04-24,
Heartless Pillage, Ixalan, uncommon, 2017-09-29, Ixalan, uncommon, 2017-09-29, Double Masters, common, 2020-08-07,
Wall of Spears, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Fourth Edition, common, 1995-04-01,
Dimir Guildmage, Salvat 2005, uncommon, 2005-08-22, Salvat 2005, uncommon, 2005-08-22, Ultimate Masters, common, 2018-12-07,
Forbidden Alchemy, Innistrad, common, 2011-09-30, Friday Night Magic 2012, rare, 2012-01-01, Magic Online Promos, common, 2013-01-11,
Elvish Vanguard, Onslaught, rare, 2002-10-07, Onslaught, rare, 2002-10-07, Eternal Masters, common, 2016-06-10,
Glistener Elf, New Phyrexia, common, 2011-05-13, Friday Night Magic 2012, rare, 2012-01-01, Magic Online Promos, common, 2013-01-11,
Snakeskin Veil, Kaldheim, common, 2021-02-05, Strixhaven Mystical Archive, uncommon, 2021-04-23, Commander Masters, common, 2023-08-04,
Riddle of Lightning, Future Sight, common, 2007-05-04, Journey into Nyx, uncommon, 2014-05-02, Time Spiral Remastered, common, 2021-03-19,
Might of the Masses, Rise of the Eldrazi, common, 2010-04-23, Guilds of Ravnica, uncommon, 2018-10-05, The List, common, 2019-11-07,
Wood Elves, Portal, rare, 1997-05-01, Portal, rare, 1997-05-01, Exodus, common, 1998-06-15,
Arcbound Wanderer, Fifth Dawn, uncommon, 2004-06-04, Fifth Dawn, uncommon, 2004-06-04, Modern Masters, common, 2013-06-07,
Self-Assembler, Kaladesh, common, 2016-09-30, The Brothers' War Retro Artifacts, uncommon, 2022-11-18, Jumpstart 2022, common, 2022-12-02,
Celestine Reef, DCI Promos, rare, 2009-09-30, DCI Promos, rare, 2009-09-30, Planechase Anthology Planes, common, 2018-12-25,
Shipwreck Dowser, Core Set 2021, uncommon, 2020-07-03, Core Set 2021, uncommon, 2020-07-03, Commander Masters, common, 2023-08-04,
Rites of Initiation, Odyssey, common, 2001-10-01, Vintage Masters, uncommon, 2014-06-16, The List, common, 2024-08-02,
Suq'Ata Lancer, Visions, common, 1997-02-03, Time Spiral Timeshifted, special, 2006-10-06, Dominaria Remastered, common, 2023-01-13,
Tethmos High Priest, Journey into Nyx, uncommon, 2014-05-02, Journey into Nyx, uncommon, 2014-05-02, Ultimate Masters, common, 2018-12-07,
Assembly-Worker, Time Spiral, uncommon, 2006-10-06, Time Spiral, uncommon, 2006-10-06, Masters 25, common, 2018-03-16,
You Meet in a Tavern, Adventures in the Forgotten Realms, uncommon, 2021-07-23, Adventures in the Forgotten Realms, uncommon, 2021-07-23, Commander Legends: Battle for Baldur's Gate, common, 2022-06-10,
Renowned Weaponsmith, Fate Reforged, uncommon, 2015-01-23, Fate Reforged, uncommon, 2015-01-23, Commander Masters, common, 2023-08-04,
Ashes to Ashes, The Dark, common, 1994-08-01, Fourth Edition Foreign Black Border, uncommon, 1995-04-01, Renaissance, common, 1995-08-01,
Avacyn's Pilgrim, Innistrad, common, 2011-09-30, Friday Night Magic 2012, rare, 2012-01-01, Magic Online Promos, common, 2013-01-11,
Feldon's Cane, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Chronicles Foreign Black Border, common, 1995-07-01,
Dry Spell, Homelands, common, 1995-10-01, Portal, uncommon, 1997-05-01, Classic Sixth Edition, common, 1999-04-21,
Phantom Monster, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Masters Edition, common, 2007-09-10,
Gruul Signet, Guildpact, common, 2006-02-03, Magic Online Promos, uncommon, 2014-10-17, Commander 2016, common, 2016-11-11,
Riverwheel Aerialists, Khans of Tarkir, uncommon, 2014-09-26, Khans of Tarkir, uncommon, 2014-09-26, Iconic Masters, common, 2017-11-17,
Vault of Whispers, Mirrodin, common, 2003-10-02, Secret Lair Drop, rare, 2021-10-15, Warhammer 40,000 Commander, common, 2022-10-07,
Primal Boost, Onslaught, uncommon, 2002-10-07, Onslaught, uncommon, 2002-10-07, Dominaria Remastered, common, 2023-01-13,
Gorilla Shaman, Alliances, common, 1996-06-10, Masters Edition II, uncommon, 2008-09-22, Magic Online Promos, common, 2017-01-18,
Spoils of Victory, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Angelic Page, Urza's Saga, common, 1998-10-12, Masters 25, uncommon, 2018-03-16, Jumpstart, common, 2020-07-17,
Demolish, Odyssey, uncommon, 2001-10-01, Odyssey, uncommon, 2001-10-01, Tenth Edition, common, 2007-07-13,
Crawling Infestation, Innistrad: Crimson Vow, uncommon, 2021-11-19, Innistrad: Crimson Vow, uncommon, 2021-11-19, Commander Masters, common, 2023-08-04,
Lava Axe, Portal, common, 1997-05-01, DCI Promos, rare, 2008-02-28, Magic 2010, common, 2009-07-17,
Gift of Orzhova, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Modern Masters 2017, common, 2017-03-17,
Memory Lapse, Homelands, common, 1995-10-01, Judge Gift Cards 1999, rare, 1999-01-01, Classic Sixth Edition, common, 1999-04-21,
Executioner's Capsule, Shards of Alara, common, 2008-10-03, Modern Masters, uncommon, 2013-06-07, Commander 2016, common, 2016-11-11,
Dimir Signet, Ravnica: City of Guilds, common, 2005-10-07, Magic Online Promos, uncommon, 2014-10-17, Magic Online Promos, common, 2017-06-17,
Viscera Seer, Magic 2011, common, 2010-07-16, Legendary Cube Prize Pack, uncommon, 2015-11-18, The List, common, 2020-03-13,
Scorched Rusalka, Guildpact, uncommon, 2006-02-03, Guildpact, uncommon, 2006-02-03, Modern Masters 2017, common, 2017-03-17,
Conclave Phalanx, Ravnica: City of Guilds, uncommon, 2005-10-07, Ravnica: City of Guilds, uncommon, 2005-10-07, Modern Masters 2015, common, 2015-05-22,
Thunderous Wrath, Avacyn Restored, uncommon, 2012-05-04, Avacyn Restored, uncommon, 2012-05-04, Modern Masters 2017, common, 2017-03-17,
Coiling Oracle, Arena League 2006, rare, 2006-01-01, Arena League 2006, rare, 2006-01-01, Dissension, common, 2006-05-05,
Gush, Mercadian Masques, common, 1999-10-04, Vintage Masters, uncommon, 2014-06-16, Duel Decks Anthology: Jace vs. Chandra, common, 2014-12-05,
Wall of Fire, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Magic 2013, common, 2012-07-13,
Sisay's Ring, Visions, common, 1997-02-03, Seventh Edition, uncommon, 2001-04-11, Commander Legends, common, 2020-11-20,
Champion of the Flame, Dominaria, uncommon, 2018-04-27, Dominaria, uncommon, 2018-04-27, Commander Legends, common, 2020-11-20,
Fellwar Stone, The Dark, rare, 1994-08-01, The Dark, rare, 1994-08-01, Masters Edition III, common, 2009-09-07,
Shire Terrace, The Lord of the Rings: Tales of Middle-earth, common, 2023-06-23, Secret Lair Drop, rare, 2023-08-29, The Lord of the Rings: Tales of Middle-earth, common, 2023-11-03,
You're Confronted by Robbers, Commander Legends: Battle for Baldur's Gate, common, 2022-06-10, Alchemy Horizons: Baldur's Gate, uncommon, 2022-07-07, The List, common, 2024-08-02,
Temur Battle Rage, Fate Reforged, common, 2015-01-23, Magic Online Promos, uncommon, 2020-12-15, Explorer Anthology 1, common, 2022-07-28,
Legion Vanguard, Modern Horizons 2, uncommon, 2021-06-18, Modern Horizons 2, uncommon, 2021-06-18, Commander Masters, common, 2023-08-04,
Night's Whisper, Fifth Dawn, uncommon, 2004-06-04, Fifth Dawn, uncommon, 2004-06-04, Eternal Masters, common, 2016-06-10,
Urza's Tower, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Rinascimento, common, 1995-08-01,
Merfolk Looter, Exodus, common, 1998-06-15, Seventh Edition, uncommon, 2001-04-11, Tenth Edition, common, 2007-07-13,
Evil Presence, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Masters Edition III, common, 2009-09-07,
Skyknight Legionnaire, Arena League 2005, rare, 2005-01-01, Arena League 2005, rare, 2005-01-01, Ravnica: City of Guilds, common, 2005-10-07,
Tenth District Legionnaire, War of the Spark, uncommon, 2019-05-03, War of the Spark, uncommon, 2019-05-03, Double Masters 2022, common, 2022-07-08,
Fire Drake, The Dark, rare, 1994-08-01, The Dark, rare, 1994-08-01, Masters Edition III, common, 2009-09-07,
Red Cliffs Armada, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition II, common, 2008-09-22,
Mana Leak, Stronghold, common, 1998-03-02, Arena League 2002, rare, 2002-01-01, Eighth Edition, common, 2003-07-28,
Death Wind, Avacyn Restored, common, 2012-05-04, Dragons of Tarkir, uncommon, 2015-03-27, Conspiracy: Take the Crown, common, 2016-08-26,
Experiment One, Friday Night Magic 2013, rare, 2013-01-01, Friday Night Magic 2013, rare, 2013-01-01, Double Masters 2022, common, 2022-07-08,
Storm Crow, Alliances, common, 1996-06-10, Secret Lair Drop, rare, 2020-09-30, The List, common, 2024-08-02,
Primal Clay, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Masters Edition IV, common, 2011-01-10,
Pradesh Gypsies, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Fourth Edition Foreign Black Border, common, 1995-04-01,
Selesnya Signet, Salvat 2005, common, 2005-08-22, Magic Online Promos, uncommon, 2014-10-17, Commander Anthology, common, 2017-06-09,
Lava Flow, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Masters Edition IV, common, 2011-01-10,
Drogskol Shieldmate, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Shadows over Innistrad Remastered, common, 2023-03-21,
Rewind, Urza's Saga, common, 1998-10-12, Arena League 1999, rare, 1999-01-01, Magic Online Promos, common, 2013-01-11,
Explorer's Scope, Zendikar, common, 2009-10-02, Conspiracy, uncommon, 2014-06-06, Duel Decks: Zendikar vs. Eldrazi, common, 2015-08-28,
Crypt Rats, Visions, common, 1997-02-03, Seventh Edition, uncommon, 2001-04-11, The List, common, 2022-09-09,
Striking Sliver, Magic 2014, common, 2013-07-19, Secret Lair Drop, rare, 2022-10-28, Commander Masters, common, 2023-08-04,
Pestilence, Limited Edition Alpha, common, 1993-08-05, Classic Sixth Edition, uncommon, 1999-04-21, The List, common, 2019-11-07,
Ley Druid, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Fifth Edition, common, 1997-03-24,
Thrull Retainer, Fallen Empires, uncommon, 1994-11-01, Fallen Empires, uncommon, 1994-11-01, Masters Edition, common, 2007-09-10,
Mystic Sanctuary, Throne of Eldraine, common, 2019-10-04, Time Spiral Remastered, special, 2021-03-19, Murders at Karlov Manor Commander, common, 2024-02-09,
Circular Logic, Torment, uncommon, 2002-02-04, Torment, uncommon, 2002-02-04, Vintage Masters, common, 2014-06-16,
Pilgrim's Eye, Worldwake, common, 2010-02-05, Battle for Zendikar, uncommon, 2015-10-02, Eternal Masters, common, 2016-06-10,
Dark Banishing, Ice Age, common, 1995-06-03, Oversized League Prizes, rare, 1998-09-04, Seventh Edition, common, 2001-04-11,
Prodigal Sorcerer, Limited Edition Alpha, common, 1993-08-05, Friday Night Magic 2000, rare, 2000-01-01, Seventh Edition, common, 2001-04-11,
Venerable Monk, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Stronghold, common, 1998-03-02,
Flood of Recollection, Rivals of Ixalan, uncommon, 2018-01-19, Rivals of Ixalan, uncommon, 2018-01-19, Commander Legends, common, 2020-11-20,
Dragonlord's Servant, Dragons of Tarkir, uncommon, 2015-03-27, Dragons of Tarkir, uncommon, 2015-03-27, Iconic Masters, common, 2017-11-17,
Brass Man, Arabian Nights, uncommon, 1993-12-17, Arabian Nights, uncommon, 1993-12-17, Masters Edition IV, common, 2011-01-10,
Ravenous Rats, Portal Second Age, common, 1998-06-24, Starter 1999, uncommon, 1999-07-01, World Championship Decks 1999, common, 1999-08-04,
Guttersnipe, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Commander Masters, common, 2023-08-04,
Winged Sliver, Tempest, common, 1997-10-14, Secret Lair Drop, rare, 2022-08-11, Commander Masters, common, 2023-08-04,
Rhystic Study, Prophecy, common, 2000-06-05, Legendary Cube Prize Pack, rare, 2015-11-18, The List, common, 2019-11-07,
Cloud of Faeries, Urza's Legacy, common, 1999-02-15, Vintage Masters, uncommon, 2014-06-16, Dominaria Remastered, common, 2023-01-13,
Glowspore Shaman, Guilds of Ravnica, uncommon, 2018-10-05, Guilds of Ravnica, uncommon, 2018-10-05, Double Masters 2022, common, 2022-07-08,
Sleight of Hand, Portal Second Age, common, 1998-06-24, Ultimate Masters, uncommon, 2018-12-07, Wilds of Eldraine, common, 2023-09-08,
Windseeker Centaur, HarperPrism Book Promos, rare, 1995-01-01, HarperPrism Book Promos, rare, 1995-01-01, HarperPrism Book Promos, common, 1996-01-01,
Ophidian, Weatherlight, common, 1997-06-09, Friday Night Magic 2001, rare, 2001-01-01, Duel Decks: Jace vs. Chandra, common, 2008-11-07,
Lotus Petal, Tempest, common, 1997-10-14, From the Vault: Exiled, mythic, 2009-08-28, The List, common, 2019-11-07,
Armored Griffin, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Masters Edition II, common, 2008-09-22,
Blightning, Shards of Alara, common, 2008-10-03, Magic Player Rewards 2009, rare, 2009-01-01, Salvat 2011, common, 2011-01-01,
Boros Signet, Ravnica: City of Guilds, common, 2005-10-07, Magic Online Promos, uncommon, 2014-10-17, Commander 2015, common, 2015-11-13,
Whispers of the Muse, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Jhessian Thief, Magic Origins, uncommon, 2015-07-17, Magic Origins, uncommon, 2015-07-17, Iconic Masters, common, 2017-11-17,
Priest of Titania, Urza's Saga, common, 1998-10-12, Friday Night Magic 2003, rare, 2003-01-01, Magic Online Promos, common, 2013-01-11,
Slitherhead, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Ravnica Remastered, common, 2024-01-12,
Carrion Feeder, Scourge, common, 2003-05-26, Friday Night Magic 2004, rare, 2004-01-01, Duel Decks: Phyrexia vs. the Coalition, common, 2010-03-19,
Rock Badger, Mercadian Masques, uncommon, 1999-10-04, Mercadian Masques, uncommon, 1999-10-04, Tenth Edition, common, 2007-07-13,
Heart-Piercer Bow, Khans of Tarkir, uncommon, 2014-09-26, Khans of Tarkir, uncommon, 2014-09-26, Core Set 2020, common, 2019-07-12,
Rot Shambler, Battle for Zendikar, uncommon, 2015-10-02, Battle for Zendikar, uncommon, 2015-10-02, Commander Masters, common, 2023-08-04,
Dwarven Hammer, Kaldheim, uncommon, 2021-02-05, Kaldheim, uncommon, 2021-02-05, Commander Masters, common, 2023-08-04,
Simic Signet, Dissension, common, 2006-05-05, Magic Online Promos, uncommon, 2014-10-17, Commander 2015, common, 2015-11-13,
Brindle Shoat, Planechase 2012, uncommon, 2012-06-01, Planechase 2012, uncommon, 2012-06-01, Vintage Masters, common, 2014-06-16,
Azorius Chancery, Dissension, common, 2006-05-05, Magic Online Theme Decks, uncommon, 2010-11-08, Commander 2011, common, 2011-06-17,
Tribute to the Wild, Commander 2011, uncommon, 2011-06-17, Commander 2011, uncommon, 2011-06-17, Vintage Masters, common, 2014-06-16,
